src_ip,dst_ip,protocol,length,src_port,dst_port
127.0.0.1,127.0.0.1,6,93,33484,42961
127.0.0.1,127.0.0.1,6,93,33484,42961
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,75,33484,42961
127.0.0.1,127.0.0.1,6,75,33484,42961
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,86,33484,42961
127.0.0.1,127.0.0.1,6,86,33484,42961
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,75,33484,42961
127.0.0.1,127.0.0.1,6,75,33484,42961
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,96,42961,33484
127.0.0.1,127.0.0.1,6,96,42961,33484
127.0.0.1,127.0.0.1,6,104,42961,33484
127.0.0.1,127.0.0.1,6,104,42961,33484
127.0.0.1,127.0.0.1,6,83,33484,42961
127.0.0.1,127.0.0.1,6,83,33484,42961
127.0.0.1,127.0.0.1,6,66,33484,42961
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,66,33484,42961
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,133,33484,42961
127.0.0.1,127.0.0.1,6,133,33484,42961
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,96,42961,33484
127.0.0.1,127.0.0.1,6,96,42961,33484
127.0.0.1,127.0.0.1,6,66,33484,42961
127.0.0.1,127.0.0.1,6,66,33484,42961
127.0.0.1,127.0.0.1,6,104,42961,33484
127.0.0.1,127.0.0.1,6,104,42961,33484
127.0.0.1,127.0.0.1,6,66,33484,42961
127.0.0.1,127.0.0.1,6,66,33484,42961
127.0.0.1,127.0.0.1,6,83,33484,42961
127.0.0.1,127.0.0.1,6,83,33484,42961
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,132,33484,42961
127.0.0.1,127.0.0.1,6,132,33484,42961
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,96,42961,33484
127.0.0.1,127.0.0.1,6,96,42961,33484
127.0.0.1,127.0.0.1,6,102,42961,33484
127.0.0.1,127.0.0.1,6,102,42961,33484
127.0.0.1,127.0.0.1,6,83,33484,42961
127.0.0.1,127.0.0.1,6,83,33484,42961
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,134,33484,42961
127.0.0.1,127.0.0.1,6,134,33484,42961
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,96,42961,33484
127.0.0.1,127.0.0.1,6,96,42961,33484
127.0.0.1,127.0.0.1,6,102,42961,33484
127.0.0.1,127.0.0.1,6,102,42961,33484
127.0.0.1,127.0.0.1,6,83,33484,42961
127.0.0.1,127.0.0.1,6,83,33484,42961
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,93,33484,42961
127.0.0.1,127.0.0.1,6,93,33484,42961
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,75,33484,42961
127.0.0.1,127.0.0.1,6,75,33484,42961
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,86,33484,42961
127.0.0.1,127.0.0.1,6,86,33484,42961
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,75,33484,42961
127.0.0.1,127.0.0.1,6,75,33484,42961
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,96,42961,33484
127.0.0.1,127.0.0.1,6,96,42961,33484
127.0.0.1,127.0.0.1,6,104,42961,33484
127.0.0.1,127.0.0.1,6,104,42961,33484
127.0.0.1,127.0.0.1,6,83,33484,42961
127.0.0.1,127.0.0.1,6,83,33484,42961
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,133,33484,42961
127.0.0.1,127.0.0.1,6,133,33484,42961
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,96,42961,33484
127.0.0.1,127.0.0.1,6,96,42961,33484
127.0.0.1,127.0.0.1,6,104,42961,33484
127.0.0.1,127.0.0.1,6,104,42961,33484
127.0.0.1,127.0.0.1,6,83,33484,42961
127.0.0.1,127.0.0.1,6,83,33484,42961
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,132,33484,42961
127.0.0.1,127.0.0.1,6,132,33484,42961
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,96,42961,33484
127.0.0.1,127.0.0.1,6,96,42961,33484
127.0.0.1,127.0.0.1,6,102,42961,33484
127.0.0.1,127.0.0.1,6,102,42961,33484
127.0.0.1,127.0.0.1,6,83,33484,42961
127.0.0.1,127.0.0.1,6,83,33484,42961
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,66,42961,33484
127.0.0.1,127.0.0.1,6,134,33484,42961
127.0.0.1,127.0.0.1,6,134,33484,42961
